,Team Name,Candidate's Name,Candidate's Email,Candidate's Mobile,Members,Candidate Type
0,Quasi,Farhan Ramesh,farhanramesh@example.com,9378726098,"farhanramesh@example.com, samarthtella@example.com",
1,Quod facilis,Emir Sankaran,emirsankaran@example.com,7142657970,emirsankaran@example.com,
2,Culque deserunt,Aaryahi Sule,aaryahisule@example.com,5396756934,aaryahisule@example.com,
3,Nesciunt,Riaan Dave,riaandave@example.com,918530403071,"riaandave@example.com, vivaansathe@example.com, daminilall@example.com",
4,Architecto neque,Prerak Sant,preraksant@example.com,6732270572,"preraksant@example.com, siyajayaraman@example.com",
5,Aspernatur harum,Samar Mandal,samarmandal@example.com,3558241866,samarmandal@example.com,
6,Sapiente eius,Riaan Sani,riaansani@example.com,4307050694,riaansani@example.com,
7,Modi,Aaina Doctor,aainadoctor@example.com,4333637794,aainadoctor@example.com,
8,Eveniet ipsa,Uthkarsh Chhabra,uthkarshchhabra@example.com,912706700399,"uthkarshchhabra@example.com, dhanukagarwal@example.com",
9,Quo,Amira Desai,amiradesai@example.com,354371597,"amiradesai@example.com, hunarbhagat@example.com",
10,Iure,Zara Cherian,zaracherian@example.com,915449369251,"zaracherian@example.com, divijsehgal@example.com, sakshammaster@example.com",
11,Saepe perferendis,Kanav Chacko,kanavchacko@example.com,674571534,kanavchacko@example.com,
12,Ullam temporibus,Kiaan Sodhi,kiaansodhi@example.com,2340102766,"kiaansodhi@example.com, taragaba@example.com",
13,Aliquid,Advika Singh,advikasingh@example.com,918196499626,"advikasingh@example.com, zaravasa@example.com, aarnachokshi@example.com",
14,Nesciunt alias,Aarna Kata,aarnakata@example.com,7887641418,"aarnakata@example.com, piyalal@example.com, hazelcherian@example.com",
15,Nihil a,Ivana Chandra,ivanachandra@example.com,914029365757,"ivanachandra@example.com, daminiravel@example.com",
16,Inventore illo,Riya Dayal,riyadayal@example.com,8428318379,"riyadayal@example.com, tanyaroy@example.com",
17,Ipsa,Kabir Buch,kabirbuch@example.com,4600534849,"kabirbuch@example.com, armaanchokshi@example.com",
18,Recusandae fuga,Miraya Rajan,mirayarajan@example.com,910381717236,"mirayarajan@example.com, sahilsood@example.com",
19,Autem blanditiis,Jiya Srivastava,jiyasrivastava@example.com,2139726853,"jiyasrivastava@example.com, vivaankuruvilla@example.com, kanavd’alia@example.com",
20,Aspernatur consectetur,Lavanya Hayre,lavanyahayre@example.com,911508404903,"lavanyahayre@example.com, nehmatsagar@example.com",
21,Ullam,Siya Shukla,siyashukla@example.com,3283538997,"siyashukla@example.com, sanadhingra@example.com",
22,Incidunt,Mishti Mall,mishtimall@example.com,913470163634,"mishtimall@example.com, ojaschauhan@example.com",
23,Mollitia,Vivaan Sinha,vivaansinha@example.com,6813668180,"vivaansinha@example.com, dhanushdayal@example.com, lakshitkumer@example.com",
24,Quo et,Uthkarsh Swaminathan,uthkarshswaminathan@example.com,895524744,"uthkarshswaminathan@example.com, jivinsarin@example.com",
25,Eum corrupti,Yuvraj  Mahal,yuvrajmahal@example.com,4538934671,"yuvrajmahal@example.com, jayeshverma@example.com",
26,Eaque eligendi,Neelofar D’Alia,neelofardalia@example.com,917150559050,"neelofardalia@example.com, samihakakar@example.com, kartikthaman@example.com",
27,Enim sequi,Kartik Khatri,kartikkhatri@example.com,916765567574,kartikkhatri@example.com,
28,Hic minima,Neelofar Shan,neelofarshan@example.com,6875628284,"neelofarshan@example.com, amiramangal@example.com, urvibhargava@example.com",
29,Nesciunt doloribus,Siya Sandal,siyasandal@example.com,1720337951,siyasandal@example.com,
30,Dolorum,Jivika Barad,jivikabarad@example.com,5043802453,"jivikabarad@example.com, aradhyahanda@example.com, alialuthra@example.com",
31,Quibusdam perferendis,Ishita Tandon,ishitatandon@example.com,919448803839,"ishitatandon@example.com, advikahayre@example.com, irakala@example.com",
32,Vel mollitia,Misha Borde,mishaborde@example.com,1777301293,"mishaborde@example.com, zainaratti@example.com",
33,Non,Ivan Butala,ivanbutala@example.com,20086671,"ivanbutala@example.com, aarushdutta@example.com, reyanshlala@example.com",
34,Fuga inventore,Oorja Vasa,oorjavasa@example.com,6874221424,"oorjavasa@example.com, zainabail@example.com, prerakbatta@example.com",
35,Soluta pariatur,Inaaya  Bail,inaayabail@example.com,1091292963,"inaayabail@example.com, alishasaraf@example.com, shaanbains@example.com",
36,Laboriosam laboriosam,Shray Subramaniam,shraysubramaniam@example.com,1991157894,shraysubramaniam@example.com,
37,Id,Amira Deo,amiradeo@example.com,914122039484,"amiradeo@example.com, ahanahora@example.com, indranilchatterjee@example.com",
38,Laboriosam,Shamik Manda,shamikmanda@example.com,6265823534,"shamikmanda@example.com, lakshayraju@example.com, advikdar@example.com",
39,Volestias,Ela Ghose,elaghose@example.com,910602419024,elaghose@example.com,
40,Ipsum ab,Indranil Kumer,indranilkumer@example.com,333558103,indranilkumer@example.com,
41,Qui nostrum,Zara Sura,zarasura@example.com,9602993648,"zarasura@example.com, uthkarshdeol@example.com",
42,Itaque illo,Biju Dutta,bijudutta@example.com,6764043378,bijudutta@example.com,
43,Id necessitatibus,Myra Soman,myrasoman@example.com,764975337,myrasoman@example.com,
44,Iure unde,Darshit Kota,darshitkota@example.com,3331408017,"darshitkota@example.com, arhaanmaster@example.com, ratichad@example.com",
45,Occaecati dolores,Anvi Jhaveri,anvijhaveri@example.com,2358125736,"anvijhaveri@example.com, taradey@example.com, vritikamanne@example.com",
46,Quod,Hansh Ben,hanshben@example.com,918502694149,"hanshben@example.com, veerwadhwa@example.com",
47,Consequatur,Alia Bandi,aliabandi@example.com,1066507907,aliabandi@example.com,
48,Labore soluta,Devansh Yohannan,devanshyohannan@example.com,599620618,"devanshyohannan@example.com, taimurgarg@example.com",
49,Laboriosam aspernatur,Indrajit Dada,indrajitdada@example.com,3613209580,"indrajitdada@example.com, nehmatbassi@example.com, samihakala@example.com",
50,Nulla,Purab Divan,purabdivan@example.com,7720318939,"purabdivan@example.com, piyavasa@example.com, anaysibal@example.com",
51,Nisi minima,Riya Koshy,riyakoshy@example.com,911197134221,riyakoshy@example.com,
52,Ad a,Riaan Bala,riaanbala@example.com,4935175496,"riaanbala@example.com, fatehsama@example.com",
53,Corporis,Umang Ramaswamy,umangramaswamy@example.com,7254844198,"umangramaswamy@example.com, dhanukbhagat@example.com, nitarabrahmbhatt@example.com",
54,Animi,Ela Warrior,elawarrior@example.com,7550287369,"elawarrior@example.com, lakshitcomar@example.com",
55,Similique,Adah Mangal,adahmangal@example.com,7261056546,"adahmangal@example.com, alialalla@example.com",
